-1,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
12,0,0.320957358,0.333972334,0.340687072,0.332325265,0.335194425,0.338075617,0.333476713,0.352116461,0.355838957,0.362682374,0.347260378,0.340979711,0.347046402,0.337544791,0.351584344,0.356775878,0.348366207,0.348383716,0.33643259,0.349308664,0.33384357,0.342440246,0.363370064,0.351105374,0.332263139,0.344553419,0.34164487,0.325689396,0.334398132,0.343067819
13,0,0.348157083,0.37693958,0.356092363,0.3703047,0.365289395,0.366859854,0.358949635,0.366636817,0.366425543,0.380804175,0.376997653,0.367540803,0.372986498,0.379091194,0.37017399,0.374831148,0.387314854,0.38857833,0.374427566,0.393053612,0.357140645,0.36708092,0.392427768,0.361081283,0.360326681,0.355521301,0.354675888,0.351696849,0.351703911,0.354021573
14,0,0.666081363,0.764629398,0.737988761,0.587588336,0.592734457,0.610846968,0.44240932,0.426279004,0.424894386,0.423539962,0.41430521,0.397967476,0.398330112,0.410937357,0.377544542,0.389867493,0.380089213,0.344448306,0.38009751,0.377882014,0.360607336,0.361739437,0.367378706,0.351200635,0.347809649,0.348270269,0.335382431,0.349102147,0.351866523,0.366039615
15,0,0.680818623,0.776036753,0.766781705,0.622184083,0.613478549,0.589944896,0.432153807,0.451530107,0.43859562,0.424794612,0.417388037,0.407277227,0.422992183,0.418993379,0.386185934,0.413218453,0.398675962,0.396195624,0.394231461,0.39584929,0.374608138,0.373226571,0.382393249,0.383312165,0.365655992,0.354719036,0.355058681,0.357742995,0.359388629,0.367144839
16,0,0.863919066,0.924887515,0.949305012,0.929159607,0.933701337,0.899450943,0.832173775,0.822432374,0.876398732,0.956299816,0.916813411,0.902216432,0.93739843,0.925431615,0.910638028,0.954763119,0.907962383,0.935245983,0.892586416,0.943126282,0.947165208,0.851901927,0.914765817,0.896842124,0.880224158,0.883313491,0.886335216,0.896152951,0.893612565,0.863690883
17,0,0.353672171,0.366981799,0.364124543,0.352768024,0.357791599,0.352608606,0.341733111,0.343177901,0.348332339,0.360464323,0.363210542,0.359542456,0.365713464,0.368521604,0.354255043,0.356608116,0.35935061,0.352912322,0.359670939,0.32423762,0.342775537,0.347454735,0.348400119,0.362974886,0.347985853,0.360984973,0.360507074,0.338384481,0.340558123,0.341514757
1,0.5,0.90803687,0.9421401,0.920215554,0.950126793,0.953498979,0.916759989,0.891304588,0.843701225,0.882404746,0.960604033,0.925376093,0.884143257,0.940792416,0.961728862,0.95509674,0.960377679,0.974277971,0.954643767,0.949545948,0.940243251,0.960691596,0.906299962,0.927873633,0.874757308,0.924864495,0.920339551,0.921443837,0.902741268,0.349355725,0.911739563
2,0.5,0.758269071,0.799860937,0.7653728,0.630155578,0.638808861,0.648561015,0.481646381,0.464529202,0.462354209,0.496673772,0.444519947,0.456304889,0.416843164,0.442222742,0.443244094,0.412065792,0.424780262,0.451160138,0.405262276,0.418029686,0.41600714,0.390532708,0.408354933,0.384083581,0.385804987,0.39219948,0.38479582,0.360568943,0.365575063,0.37112467
3,0.5,0.761571784,0.797815677,0.753317908,0.642878619,0.619726021,0.663300173,0.466847648,0.457525937,0.45727012,0.477883745,0.454829528,0.45552225,0.415808145,0.462560501,0.439538357,0.461807689,0.435272461,0.462468266,0.403145104,0.40685843,0.419852159,0.398251386,0.401820159,0.391345539,0.37467678,0.387728835,0.391009932,0.363557254,0.368338022,0.372861698
4,0.5,0.350350972,0.366268332,0.361639632,0.369716664,0.376112221,0.385293284,0.366242509,0.382091277,0.372243697,0.401628084,0.402971499,0.394476398,0.393597796,0.410731213,0.399328206,0.433516576,0.387927099,0.393766268,0.379109475,0.39493032,0.426494928,0.376162427,0.399183912,0.356920377,0.369096733,0.376151292,0.374019839,0.352006607,0.356581549,0.361107038
